id,url,manufacturer,model,rated_power_kw,rotor_diameter_m,rotor_area_m2,num_blades,hub_height_m,cut_in_wind_speed_ms,cut_out_wind_speed_ms,rated_wind_speed_ms,rotor_speed_rpm,generator_type,gearbox_type,tower_type,nacelle_weight_kg,rotor_weight_kg,tower_weight_kg,blade_weight_kg,total_weight_kg,voltage_v,frequency_hz,installation,offshore,onshore
2011,https://en.wind-turbine-models.com/turbines/2011-amsc-wt2000df-tc-ia,AMSC,AMSC wt2000df TC IA,2000,86,5808.8,3,70,3,25,11,,double-fed induction,,tubular steel. concrete. hybrid,,,,,,690,50/60 Hz,,No,Yes
2013,https://en.wind-turbine-models.com/turbines/2013-amsc-wt2000df-tc-iia,AMSC,AMSC wt2000df TC IIA,2000,100,7854,3,80,3,25,11,,double-fed induction,,tubular steel. concrete. hybrid,,,,,,690,50/60 Hz,,No,Yes
2015,https://en.wind-turbine-models.com/turbines/2015-amsc-wt2000df-tc-iiia,AMSC,AMSC wt2000df TC IIIA,2000,113,10028.7,3,90,3,20,11,,double-fed induction,,tubular steel. concrete. hybrid,,,,,,690,50/60 Hz,,No,Yes
2012,https://en.wind-turbine-models.com/turbines/2012-amsc-wt2000fc-tc-ia,AMSC,AMSC wt2000fc TC IA,2000,93,6792.9,3,70,3.5,25,11.5,,synchronous / asynchronous,,tubular steel. concrete. hybrid,,,,,,690,50/60 Hz,,No,Yes
2014,https://en.wind-turbine-models.com/turbines/2014-amsc-wt2000fc-tc-iia,AMSC,AMSC wt2000fc TC IIA,2000,100,7854,3,80,3,25,11,,synchronous / asynchronous,,tubular steel. concrete. hybrid,,,,,,690,50/60 Hz,,No,Yes
2016,https://en.wind-turbine-models.com/turbines/2016-amsc-wt2000fc-tc-iiia,AMSC,AMSC wt2000fc TC IIIA,2000,113,10028.7,3,90,3,20,11,,synchronous / asynchronous,,tubular steel. concrete. hybrid,,,,,,690,50/60 Hz,,No,Yes
2017,https://en.wind-turbine-models.com/turbines/2017-amsc-wt3000df-tc-iib,AMSC,AMSC wt3000df TC IIB,3000,113,10028.7,3,90,3,25,12,,double-fed induction,,tubular steel. concrete. hybrid,,,,,,690,50/60 Hz,,No,Yes
2021,https://en.wind-turbine-models.com/turbines/2021-amsc-wt3000df-tc-iiia,AMSC,AMSC wt3000df TC IIIA,3000,140,15393.8,3,100,3,20,10,,double-fed induction,,tubular steel. concrete. hybrid,,,,,,690,50/60 Hz,,No,Yes
2019,https://en.wind-turbine-models.com/turbines/2019-amsc-wt3000df-tc-iiib,AMSC,AMSC wt3000df TC IIIB,3000,120,11309.7,2,90,3,20,11,,double-fed induction,,tubular steel. concrete. hybrid,,,,,,690,50/60 Hz,,No,Yes
2018,https://en.wind-turbine-models.com/turbines/2018-amsc-wt3000fc-tc-iib,AMSC,AMSC wt3000fc TC IIB,3000,113,10028.7,3,90,3,25,12,,synchronous/ asynchronous,,tubular steel. concrete. hybrid,,,,,,690,50/60 Hz,,No,Yes
2022,https://en.wind-turbine-models.com/turbines/2022-amsc-wt3000fc-tc-iiia,AMSC,AMSC wt3000fc TC IIIA,3000,140,15393.8,3,100,3,20,10,,synchronous/ asynchronous,,tubular steel. concrete. hybrid,,,,,,690,50/60 Hz,,No,Yes
2020,https://en.wind-turbine-models.com/turbines/2020-amsc-wt3000fc-tc-iiib,AMSC,AMSC wt3000fc TC IIIB,3000,120,11309.7,3,90,3,20,11,,synchronous/ asynchronous,,tubular steel. concrete. hybrid,,,,,,690,50/60 Hz,,No,Yes
